institutionCode,collectionCode,catalogNumber,occurrenceID,eventDate,decimalLongitude,decimalLatitude,scientificName,scientificNameID,occurrenceStatus,basisOfRecord
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,27,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 27,89-07-01,-124.03595409127324,44.615025727396386,Mactromeris polynyma,156863,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,28,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 28,89-07-01,-124.0191346551042,44.61756273119201,Mactromeris polynyma,156863,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,29,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 29,89-07-01,-124.03228761071588,44.62007332721581,Magelona sacculata,329161,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,30,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 30,89-07-01,-124.00350381048973,44.61527947711245,Magelona sacculata,329161,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,31,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 31,89-07-01,-124.03595409127324,44.615025727396386,Magelona sacculata,329161,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,32,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 32,89-07-01,-124.0191346551042,44.61756273119201,Magelona sacculata,329161,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,33,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 33,89-07-01,-124.03228761071588,44.62007332721581,Mediomastus californiensis,157483,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,34,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 34,89-07-01,-124.00350381048973,44.61527947711245,Mediomastus californiensis,157483,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,35,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 35,89-07-01,-124.03595409127324,44.615025727396386,Mediomastus californiensis,157483,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,36,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 36,89-07-01,-124.0191346551042,44.61756273119201,Mediomastus californiensis,157483,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,37,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 37,89-07-01,-124.03228761071588,44.62007332721581,Mediomastus californiensis,157483,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,38,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 38,89-07-01,-124.00350381048973,44.61527947711245,Mediomastus californiensis,157483,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,39,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 39,89-07-01,-124.03595409127324,44.615025727396386,Mediomastus californiensis,157483,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,40,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 40,89-07-01,-124.0191346551042,44.61756273119201,Mediomastus californiensis,157483,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,41,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 41,89-07-01,-124.03228761071588,44.62007332721581,Melanochlamys diomedea,576296,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,42,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 42,89-07-01,-124.00350381048973,44.61527947711245,Melanochlamys diomedea,576296,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,43,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 43,89-07-01,-124.03595409127324,44.615025727396386,Melanochlamys diomedea,576296,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,44,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 44,89-07-01,-124.0191346551042,44.61756273119201,Melanochlamys diomedea,576296,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,45,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 45,89-07-01,-124.03228761071588,44.62007332721581,Phoxocephalidae,101403,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,46,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 46,89-07-01,-124.00350381048973,44.61527947711245,Phoxocephalidae,101403,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,47,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 47,89-07-01,-124.03595409127324,44.615025727396386,Phoxocephalidae,101403,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,48,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 48,89-07-01,-124.0191346551042,44.61756273119201,Phoxocephalidae,101403,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,49,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 49,89-07-01,-124.03228761071588,44.62007332721581,Rochefortia tumida,246818,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,50,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 50,89-07-01,-124.00350381048973,44.61527947711245,Rochefortia tumida,246818,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,51,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 51,89-07-01,-124.03595409127324,44.615025727396386,Rochefortia tumida,246818,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,52,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 52,89-07-01,-124.0191346551042,44.61756273119201,Rochefortia tumida,246818,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,53,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 53,89-07-01,-124.03228761071588,44.62007332721581,Spiophanes bombyx,131187,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,54,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 54,89-07-01,-124.00350381048973,44.61527947711245,Spiophanes bombyx,131187,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,55,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 55,89-07-01,-124.03595409127324,44.615025727396386,Spiophanes bombyx,131187,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,56,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 56,89-07-01,-124.0191346551042,44.61756273119201,Spiophanes bombyx,131187,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,57,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 57,89-07-01,-124.03228761071588,44.62007332721581,Spiophanes bombyx,131187,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,58,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 58,89-07-01,-124.00350381048973,44.61527947711245,Spiophanes bombyx,131187,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,59,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 59,89-07-01,-124.03595409127324,44.615025727396386,Spiophanes bombyx,131187,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,60,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 60,89-07-01,-124.0191346551042,44.61756273119201,Spiophanes bombyx,131187,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,61,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 61,89-07-01,-124.03228761071588,44.62007332721581,Tharyx parvus,334924,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,62,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 62,89-07-01,-124.00350381048973,44.61527947711245,Tharyx parvus,334924,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,63,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 63,89-07-01,-124.03595409127324,44.615025727396386,Tharyx parvus,334924,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,64,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 64,89-07-01,-124.0191346551042,44.61756273119201,Tharyx parvus,334924,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,65,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 65,89-07-01,-124.03228761071588,44.62007332721581,Tharyx parvus,334924,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,66,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 66,89-07-01,-124.00350381048973,44.61527947711245,Tharyx parvus,334924,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,67,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 67,89-07-01,-124.03595409127324,44.615025727396386,Tharyx parvus,334924,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,68,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 68,89-07-01,-124.0191346551042,44.61756273119201,Tharyx parvus,334924,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,69,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 69,89-07-01,-124.01958172347614,44.61502003193083,Cirratulidae,919,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,70,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 70,89-07-01,-124.04239879297977,44.61948634304918,Cirratulidae,919,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,71,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 71,89-07-01,-124.0071951888856,44.57726524599502,Cirratulidae,919,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,72,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 72,89-07-01,-124.01384874817856,44.612946478358616,Cirratulidae,919,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,73,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 73,89-07-01,-124.01958172347614,44.61502003193083,Glycera americana,157388,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,74,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 74,89-07-01,-124.04239879297977,44.61948634304918,Glycera americana,157388,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,75,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 75,89-07-01,-124.0071951888856,44.57726524599502,Glycera americana,157388,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,76,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 76,89-07-01,-124.01384874817856,44.612946478358616,Glycera americana,157388,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,77,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 77,89-07-01,-124.01958172347614,44.61502003193083,Glycera americana,157388,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,78,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 78,89-07-01,-124.04239879297977,44.61948634304918,Glycera americana,157388,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,79,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 79,89-07-01,-124.0071951888856,44.57726524599502,Glycera americana,157388,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,80,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 80,89-07-01,-124.01384874817856,44.612946478358616,Glycera americana,157388,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,81,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 81,89-07-01,-124.01958172347614,44.61502003193083,Lamprops quadriplicata,157824,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,82,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 82,89-07-01,-124.04239879297977,44.61948634304918,Lamprops quadriplicata,157824,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,83,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 83,89-07-01,-124.0071951888856,44.57726524599502,Lamprops quadriplicata,157824,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,84,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 84,89-07-01,-124.01384874817856,44.612946478358616,Lamprops quadriplicata,157824,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,85,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 85,89-07-01,-124.01958172347614,44.61502003193083,Leitoscoloplos pugettensis,254746,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,86,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 86,89-07-01,-124.04239879297977,44.61948634304918,Leitoscoloplos pugettensis,254746,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,87,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 87,89-07-01,-124.0071951888856,44.57726524599502,Leitoscoloplos pugettensis,254746,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,88,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 88,89-07-01,-124.01384874817856,44.612946478358616,Leitoscoloplos pugettensis,254746,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,89,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 89,89-07-01,-124.01958172347614,44.61502003193083,Mediomastus californiensis,157483,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,90,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 90,89-07-01,-124.04239879297977,44.61948634304918,Mediomastus californiensis,157483,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,91,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 91,89-07-01,-124.0071951888856,44.57726524599502,Mediomastus californiensis,157483,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,92,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 92,89-07-01,-124.01384874817856,44.612946478358616,Mediomastus californiensis,157483,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,93,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 93,89-07-01,-124.01958172347614,44.61502003193083,Mediomastus californiensis,157483,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,94,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 94,89-07-01,-124.04239879297977,44.61948634304918,Mediomastus californiensis,157483,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,95,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 95,89-07-01,-124.0071951888856,44.57726524599502,Mediomastus californiensis,157483,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,96,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 96,89-07-01,-124.01384874817856,44.612946478358616,Mediomastus californiensis,157483,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,97,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 97,89-07-01,-124.01958172347614,44.61502003193083,Nephtys caecoides,334136,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,98,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 98,89-07-01,-124.04239879297977,44.61948634304918,Nephtys caecoides,334136,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,99,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 99,89-07-01,-124.0071951888856,44.57726524599502,Nephtys caecoides,334136,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,100,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 100,89-07-01,-124.01384874817856,44.612946478358616,Nephtys caecoides,334136,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,101,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 101,89-07-01,-124.01958172347614,44.61502003193083,Olivella pycna,710745,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,102,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 102,89-07-01,-124.04239879297977,44.61948634304918,Olivella pycna,710745,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,103,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 103,89-07-01,-124.0071951888856,44.57726524599502,Olivella pycna,710745,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,104,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 104,89-07-01,-124.01384874817856,44.612946478358616,Olivella pycna,710745,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,105,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 105,89-07-01,-124.01958172347614,44.61502003193083,Olivella pycna,710745,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,106,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 106,89-07-01,-124.04239879297977,44.61948634304918,Olivella pycna,710745,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,107,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 107,89-07-01,-124.0071951888856,44.57726524599502,Olivella pycna,710745,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,108,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 108,89-07-01,-124.01384874817856,44.612946478358616,Olivella pycna,710745,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,109,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 109,89-07-01,-124.01958172347614,44.61502003193083,Phyllodoce hartmanae,330596,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,110,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 110,89-07-01,-124.04239879297977,44.61948634304918,Phyllodoce hartmanae,330596,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,111,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 111,89-07-01,-124.0071951888856,44.57726524599502,Phyllodoce hartmanae,330596,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,112,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 112,89-07-01,-124.01384874817856,44.612946478358616,Phyllodoce hartmanae,330596,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,113,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 113,89-07-01,-124.01958172347614,44.61502003193083,Protodorvillea gracilis,334643,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,114,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 114,89-07-01,-124.04239879297977,44.61948634304918,Protodorvillea gracilis,334643,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,115,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 115,89-07-01,-124.0071951888856,44.57726524599502,Protodorvillea gracilis,334643,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,116,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 116,89-07-01,-124.01384874817856,44.612946478358616,Protodorvillea gracilis,334643,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,117,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 117,89-07-01,-124.01391714600052,44.579204335114866,Americorophium salmonis,431328,present,HumanObservation
