GenusSpecies,query,wormsid
Mytilus sp,Mytilus,NA
Naineris uncinata,Naineris uncinata,329420
Neanthes limnicola,Neanthes limnicola,NA
Nematoda,Nematoda,NA
Nemertea,Nemertea,NA
Neotrypaea californiensis,Neotrypaea californiensis,465347
Nephtys caeca,Nephtys caeca,NA
Nephtys caecoides,Nephtys caecoides,334136
Nephtys cornuta,Nephtys cornuta,NA
Nephtys sp,Nephtys,NA
Nereididae,Nereididae,NA
Nereis procera,Nereis procera,329725
Nereis vexillosa,Nereis vexillosa,329765
Nippoleucon hinumensis,Nippoleucon hinumensis,182361
Nipponemertes pacificus,Nipponemertes pacificus,NA
Nipponnemertes pacifica,Nipponnemertes pacifica,NA
No animals,No animals,NA
Nutricola tantilla,Nutricola tantilla,507789
Odostomia sp,Odostomia,NA
Oligochaeta,Oligochaeta,NA
Olivella pycna,Olivella pycna,710745
Olivella sp,Olivella,NA
Ophelia limacina,Ophelia limacina,NA
Ophiuroidea,Ophiuroidea,NA
Orbiniidae,Orbiniidae,902
Owenia fusiformis,Owenia fusiformis,NA
Palaeonemertea,Palaeonemertea,122307
Paleonemertea,Paleonemertea,NA
Paranemertes californica,Paranemertes californica,148114
Paraonella platybranchia,Paraonella platybranchia,NA
Paraonidae,Paraonidae,903
Pectinaria californiensis,Pectinaria californiensis,NA
Phoronida,Phoronida,NA
Phoronopsis sp,Phoronopsis,NA
Phoxocephalidae,Phoxocephalidae,101403
Phyllochaetopterus sp,Phyllochaetopterus,NA
Phyllodoce hartmanae,Phyllodoce hartmanae,330596
Phyllodoce longipes,Phyllodoce longipes,130673
Phyllodoce sp,Phyllodoce,NA
Pinnixa schmitti,Pinnixa schmitti,445062
Pinnixa sp,Pinnixa,NA
Platynereis bicanaliculata,Platynereis bicanaliculata,334557
Podarke sp,Podarke,NA
Podarkeopsis glabra,Podarkeopsis glabra,334566
Podocopida,Podocopida,NA
Polycirrinae,Polycirrinae,181512
Polydora cornuta,Polydora cornuta,131143
Polydora limicola,Polydora limicola,131147
Pontogeneia cf rostrata,Pontogeneia cf rostrata,NA
Prionospio (minuspio) lighti,Prionospio (minuspio) lighti,331101
Prionospio lighti,Prionospio lighti,558839
Prionospio sp,Prionospio,338541
Protodorvillea gracilis,Protodorvillea gracilis,334643
Protothaca staminea,Protothaca staminea,NA
Pseudopolydora kempi,Pseudopolydora kempi,NA
Pseudopolydora paucibranchiata,Pseudopolydora paucibranchiata,131168
Pseudopolydora sp,Pseudopolydora,NA
Pycnogonida,Pycnogonida,NA
Pygospio elegans,Pygospio elegans,131170
Rhepoxynius abronius,Rhepoxynius abronius,549002
Rhynchospio glutaea,Rhynchospio glutaea,174830
Rochefortia tumida,Rochefortia tumida,246818
Saxidomus gigantea,Saxidomus gigantea,NA
Scolelepis sp,Scolelepis,NA
Scolelepis squamata,Scolelepis squamata,NA
Scoletoma zonata,Scoletoma zonata,1039075
Scoloplos armiger,Scoloplos armiger,NA
Scoloplos armiger alaskensis,Scoloplos armiger alaskensis,NA
Scoloplos armiger armiger,Scoloplos armiger armiger,NA
Scoloplos sp,Scoloplos,NA
Siliqua sp,Siliqua,NA
Sipuncula,Sipuncula,NA
Solen sicarius,Solen sicarius,413523
Sphaerosyllis californiensis,Sphaerosyllis californiensis,332003
Spionidae,Spionidae,913
Spiophanes berkeleyorum,Spiophanes berkeleyorum,NA
Spiophanes bombyx,Spiophanes bombyx,131187
Spiromoellaria quadrae,Spiromoellaria quadrae,NA
Streblospio benedicti,Streblospio benedicti,NA
Syllidae,Syllidae,NA
Syllides sp,Syllides,NA
Tellina modesta,Tellina modesta,NA
Tellina sp,Tellina,NA
Tetrastemma sp,Tetrastemma,NA
Tharyx parvus,Tharyx parvus,334924
Tharyx sp,Tharyx,NA
Tubulanus nothus,Tubulanus nothus,122635
Tubulanus polymorphus,Tubulanus polymorphus,122637
Upogebia pugettensis,Upogebia pugettensis,367757
